item,amount
TOTAL MARY KAY EXPENSES (2025),6748.130000000001
,
TOP CATEGORIES,
Product Inventory Mary Kay,3356.92
Events & Booth Fees,591.72
Meals (50%),547.35
Office Supplies and Small Equipment,469.31
Marketing and Advertising,390.32
Travel,333.05
Supplies,205.25
Software & Subscriptions,203.29
Postage and Shipping,184.48000000000002
Vehicle: Gas,169.15
,
MONTHLY TOTALS,
2025-01,291.94
2025-02,594.81
2025-03,560.95
2025-04,221.36
2025-05,850.63
2025-06,578.01
2025-07,1218.82
2025-08,658.79
2025-09,699.98
2025-10,222.53000000000003
2025-11,575.73
2025-12,274.58
